rivnumb,rivalry,rivala,rivalb,beginr,endr,totdisp,rivtyp2,rivtypold
240,93300,93,300,19180508,19181111,1,ISOLATED,ISOLATED
241,93310,93,310,19411219,19420619,2,ISOLATED,ISOLATED
242,93325,93,325,19411211,19420611,1,ISOLATED,ISOLATED
243,93355,93,355,19411219,19420619,2,ISOLATED,ISOLATED
244,93360,93,360,19411219,19420619,2,ISOLATED,ISOLATED
245,93740,93,740,19411208,19420608,1,ISOLATED,ISOLATED
246,94095,94,95,19210221,19210909,1,ISOLATED,ISOLATED
247,94095,94,95,19880909,19881011,1,ISOLATED,ISOLATED
248,94255,94,255,19411211,19420611,1,ISOLATED,ISOLATED
249,94325,94,325,19411211,19420611,1,ISOLATED,ISOLATED
250,94740,94,740,19411208,19420608,1,ISOLATED,ISOLATED
251,95255,95,255,19400714,19431211,4,ISOLATED,ISOLATED
10252,95325,95,325,19370814,19370814,1,ISOLATED,ISOLATED
10253,95325,95,325,19400919,19420612,2,ISOLATED,ISOLATED
254,95645,95,645,19840419,19880131,4,ISOLATED,ISOLATED
255,95740,95,740,19411207,19420607,1,ISOLATED,ISOLATED
256,100101,100,101,19000917,19021125,2,ISOLATED,ISOLATED
257,100101,100,101,19820713,20001123,12,RIVALRY,PROTO
258,100130,100,130,18571101,18631206,3,RIVALRY,PROTO
259,100130,100,130,19321114,19321114,1,ISOLATED,ISOLATED
260,100135,100,135,18520301,18521131,2,ISOLATED,ISOLATED
10261,100135,100,135,18990401,19340519,7,RIVALRY,ENDURING
263,100140,100,140,19320909,19330525,1,ISOLATED,ISOLATED
10265,100200,100,200,18360120,18570131,3,RIVALRY,PROTO
267,100220,100,220,18330903,18331211,1,ISOLATED,ISOLATED
268,100255,100,255,19431126,19440526,3,ISOLATED,ISOLATED
10269,100325,100,325,18850701,18980814,3,RIVALRY,PROTO
271,100710,100,710,19510606,19530727,1,ISOLATED,ISOLATED
272,100731,100,731,19510606,19530727,1,ISOLATED,ISOLATED
10273,101110,101,110,19661014,19991009,8,RIVALRY,ENDURING
276,101155,101,155,18521001,18521131,1,ISOLATED,ISOLATED
277,101200,101,200,18580501,18590531,2,ISOLATED,ISOLATED
280,101200,101,200,19820430,19820430,1,ISOLATED,ISOLATED
10278,101200,101,200,18810101,19030219,4,RIVALRY,PROTO
281,101210,101,210,18490501,18690231,4,RIVALRY,PROTO
282,101210,101,210,19080801,19081223,1,ISOLATED,ISOLATED
283,101220,101,220,18580501,18580827,1,ISOLATED,ISOLATED
284,101220,101,220,19051001,19051231,1,ISOLATED,ISOLATED
285,101255,101,255,19021207,19030219,1,ISOLATED,ISOLATED
286,101255,101,255,19420224,19450208,2,ISOLATED,ISOLATED
287,101325,101,325,19021216,19030219,1,ISOLATED,ISOLATED
288,101365,101,365,19680617,19680617,1,ISOLATED,ISOLATED
289,101740,101,740,19450208,19450208,1,ISOLATED,ISOLATED
10290,110115,110,115,19760401,20000930,6,RIVALRY,ENDURING
292,110140,110,140,19751101,19760731,1,ISOLATED,ISOLATED
293,130135,130,135,18580501,18600125,1,ISOLATED,ISOLATED
294,130135,130,135,18910801,19550927,21,RIVALRY,ENDURING
295,130135,130,135,19770621,19980813,12,RIVALRY,ENDURING
296,130230,130,230,18660227,18660227,1,ISOLATED,ISOLATED
297,135140,135,140,19021021,19040712,1,ISOLATED,ISOLATED
298,135140,135,140,19180801,19180831,1,ISOLATED,ISOLATED
299,135140,135,140,19320909,19330525,1,ISOLATED,ISOLATED
300,135145,135,145,18750301,18751031,1,ISOLATED,ISOLATED
301,135145,135,145,19060601,19110330,2,ISOLATED,ISOLATED
304,135155,135,155,19760911,19770831,3,RIVALRY,PROTO
10302,135155,135,155,18520602,19211213,8,RIVALRY,ENDURING
305,135230,135,230,18461107,18470206,1,ISOLATED,ISOLATED
306,135230,135,230,18590401,18660509,4,RIVALRY,PROTO
307,135255,135,255,19450212,19450807,1,ISOLATED,ISOLATED
308,135740,135,740,19450212,19450812,1,ISOLATED,ISOLATED
309,140145,140,145,19020619,19030431,1,ISOLATED,ISOLATED
310,140145,140,145,19281031,19281031,1,ISOLATED,ISOLATED
311,140150,140,150,18500901,18700301,5,RIVALRY,PROTO
312,140150,140,150,19281031,19300510,2,ISOLATED,ISOLATED
313,140160,140,160,18510401,18520203,1,ISOLATED,ISOLATED
314,140160,140,160,18720322,18751230,3,RIVALRY,PROTO
315,140160,140,160,19830119,19830119,1,ISOLATED,ISOLATED
316,140200,140,200,18261030,18261030,1,ISOLATED,ISOLATED
317,140200,140,200,18380801,18630105,6,RIVALRY,ENDURING
318,140200,140,200,18950101,18950731,1,ISOLATED,ISOLATED
319,140200,140,200,19401203,19401216,1,ISOLATED,ISOLATED
320,140220,140,220,18260706,18260706,1,ISOLATED,ISOLATED
321,140220,140,220,18950511,18961231,2,ISOLATED,ISOLATED
322,140220,140,220,19630401,19630431,1,ISOLATED,ISOLATED
323,140255,140,255,19170405,19181111,1,ISOLATED,ISOLATED
10324,140255,140,255,19420118,19450507,3,ISOLATED,ISOLATED
326,140325,140,325,19420309,19430222,2,ISOLATED,ISOLATED
329,140365,140,365,19590328,19680518,2,ISOLATED,ISOLATED
331,140620,140,620,19830416,19830430,1,ISOLATED,ISOLATED
332,140740,140,740,19440706,19450814,2,ISOLATED,ISOLATED
10333,145150,145,150,18860810,19380721,19,RIVALRY,ENDURING
338,145155,145,155,19200715,19200822,1,ISOLATED,ISOLATED
339,145155,145,155,19620322,19620431,1,ISOLATED,ISOLATED
340,145155,145,155,19780317,19780317,1,ISOLATED,ISOLATED
10336,145155,145,155,18570820,18840404,5,RIVALRY,PROTO
341,145160,145,160,18660701,18660731,1,ISOLATED,ISOLATED
342,145160,145,160,19281213,19281213,1,ISOLATED,ISOLATED
343,145230,145,230,18660411,18660411,1,ISOLATED,ISOLATED
344,145255,145,255,19431204,19440604,1,ISOLATED,ISOLATED
345,145325,145,325,19431204,19440604,1,ISOLATED,ISOLATED
346,145740,145,740,19431204,19440604,1,ISOLATED,ISOLATED
347,150160,150,160,18460101,18510131,2,ISOLATED,ISOLATED
348,150160,150,160,18650401,18700301,1,ISOLATED,ISOLATED
349,150160,150,160,19110201,19120218,2,ISOLATED,ISOLATED
350,150160,150,160,19281213,19281213,1,ISOLATED,ISOLATED
351,150160,150,160,19591226,19620515,2,ISOLATED,ISOLATED
352,150200,150,200,18591129,18591130,1,ISOLATED,ISOLATED
353,150255,150,255,19450207,19450507,1,ISOLATED,ISOLATED
354,150740,150,740,19450207,19450807,1,ISOLATED,ISOLATED
355,155160,155,160,18430921,18440430,1,ISOLATED,ISOLATED
356,155160,155,160,18730315,19090707,10,RIVALRY,ENDURING
357,155160,155,160,19520701,19841019,17,RIVALRY,ENDURING
358,155200,155,200,18830122,18910624,2,ISOLATED,ISOLATED
359,155200,155,200,19470215,19480306,2,ISOLATED,ISOLATED
360,155200,155,200,19960306,19960331,2,ISOLATED,ISOLATED
361,155220,155,220,18830122,18910624,2,ISOLATED,ISOLATED
362,155230,155,230,18461207,18470206,1,ISOLATED,ISOLATED
363,155230,155,230,18620810,18660509,3,RIVALRY,PROTO
364,155255,155,255,19420316,19420316,1,ISOLATED,ISOLATED
365,155325,155,325,18830122,18830322,1,ISOLATED,ISOLATED
367,155740,155,740,19450411,19450814,1,ISOLATED,ISOLATED
368,160165,160,165,19071101,19071131,1,ISOLATED,ISOLATED
369,160165,160,165,19690128,19730126,2,ISOLATED,ISOLATED
370,160200,160,200,18420101,18460326,3,RIVALRY,PROTO
371,160200,160,200,18800501,18801231,1,ISOLATED,ISOLATED
372,160200,160,200,19470403,19470403,1,ISOLATED,ISOLATED
373,160200,160,200,19760204,19830809,4,RIVALRY,PROTO
374,160220,160,220,18420101,18460326,3,RIVALRY,PROTO
375,160220,160,220,19160501,19160531,1,ISOLATED,ISOLATED
376,160255,160,255,19140301,19170622,2,ISOLATED,ISOLATED
10377,160255,160,255,19391222,19450807,4,ISOLATED,ISOLATED
378,160345,160,345,20000327,20001128,4,RIVALRY,PROTO
379,160355,160,355,19771001,19771001,1,ISOLATED,ISOLATED
380,160365,160,365,19680622,19771001,2,ISOLATED,ISOLATED
381,160385,160,385,19480304,19480306,1,ISOLATED,ISOLATED
382,160645,160,645,19900918,19910303,1,ISOLATED,ISOLATED
384,160713,160,713,19860528,19860528,1,ISOLATED,ISOLATED
385,160740,160,740,19450327,19450814,1,ISOLATED,ISOLATED
386,160740,160,740,19870213,19870324,1,ISOLATED,ISOLATED
387,165200,165,200,19391213,19391213,1,ISOLATED,ISOLATED
10388,165255,165,255,19391213,19450807,3,ISOLATED,ISOLATED
389,165385,165,385,19730126,19730126,1,ISOLATED,ISOLATED
390,165740,165,740,19450215,19450814,1,ISOLATED,ISOLATED
391,200210,200,210,18310815,18330521,2,ISOLATED,ISOLATED
393,200210,200,210,19391101,19391130,1,ISOLATED,ISOLATED
10392,200210,200,210,19140801,19171017,3,ISOLATED,ISOLATED
394,200220,200,220,18310205,18401127,2,ISOLATED,ISOLATED
395,200220,200,220,18880201,18981104,5,RIVALRY,PROTO
396,200220,200,220,19400704,19410707,1,ISOLATED,ISOLATED
397,200225,200,225,19400612,19400701,1,ISOLATED,ISOLATED
398,200230,200,230,18250301,18250331,1,ISOLATED,ISOLATED
399,200230,200,230,18731101,18731110,1,ISOLATED,ISOLATED
400,200230,200,230,19400716,19401022,1,ISOLATED,ISOLATED
401,200230,200,230,19690626,19691130,1,ISOLATED,ISOLATED
402,200230,200,230,19860320,19860321,1,ISOLATED,ISOLATED
403,200235,200,235,18310504,18310511,1,ISOLATED,ISOLATED
404,200235,200,235,18891229,18971011,2,ISOLATED,ISOLATED
405,200235,200,235,19400805,19400805,1,ISOLATED,ISOLATED
406,200235,200,235,19660310,19660414,1,ISOLATED,ISOLATED
407,200240,200,240,18480410,18480831,1,ISOLATED,ISOLATED
408,200255,200,255,18321022,18330521,1,ISOLATED,ISOLATED
410,200255,200,255,18870601,19211105,7,RIVALRY,ENDURING
411,200255,200,255,19380826,19450507,3,RIVALRY,PROTO
2013,200255,200,255,18630417,18640720,1,ISOLATED,ISOLATED
412,200265,200,265,19610813,19611028,1,ISOLATED,ISOLATED
413,200265,200,265,19850606,19850907,1,ISOLATED,ISOLATED
414,200290,200,290,19611018,19611028,1,ISOLATED,ISOLATED
415,200300,200,300,19140726,19181103,1,ISOLATED,ISOLATED
416,200305,200,305,19220901,19220915,1,ISOLATED,ISOLATED
417,200310,200,310,19190320,19190804,1,ISOLATED,ISOLATED
418,200310,200,310,19410627,19450120,1,ISOLATED,ISOLATED
419,200315,200,315,19530312,19611028,2,ISOLATED,ISOLATED
420,200325,200,325,18901014,18910324,1,ISOLATED,ISOLATED
421,200325,200,325,19111224,19111224,1,ISOLATED,ISOLATED
422,200325,200,325,19271028,19430909,7,RIVALRY,PROTO
423,200329,200,329,18480901,18480911,1,ISOLATED,ISOLATED
424,200339,200,339,19460515,19461113,1,ISOLATED,ISOLATED
425,200339,200,339,19580101,19580104,1,ISOLATED,ISOLATED
426,200345,200,345,19400402,19461005,2,ISOLATED,ISOLATED
427,200345,200,345,19920716,20001128,10,RIVALRY,PROTO
428,200350,200,350,18500117,18541201,2,ISOLATED,ISOLATED
429,200350,200,350,18860426,18970815,3,RIVALRY,PROTO
430,200350,200,350,19160606,19220729,2,ISOLATED,ISOLATED
431,200350,200,350,19410131,19410131,1,ISOLATED,ISOLATED
432,200355,200,355,19151009,19180929,2,ISOLATED,ISOLATED
10433,200355,200,355,19410208,19440826,3,ISOLATED,ISOLATED
434,200360,200,360,19220901,19220915,1,ISOLATED,ISOLATED
435,200360,200,360,19400726,19440823,2,ISOLATED,ISOLATED
436,200365,200,365,18330622,18361231,2,ISOLATED,ISOLATED
437,200365,200,365,18491006,18610921,3,RIVALRY,PROTO
438,200365,200,365,18760501,19230611,17,RIVALRY,ENDURING
439,200365,200,365,19390325,19990611,22,RIVALRY,ENDURING
